sample,solar_capex,wind_capex,battery_capex,diesel_opex,total_cost,solar_mw,solar_mwh,wind_mw,wind_mwh,diesel_mw,diesel_mwh,battery_mw,battery_discharge_mwh
54,677061.4363126678,1012827.809879531,696365.6385750761,271.7352807043951,36058.86746818518,0.3880652651371106,364.5792730699094,0.045713903146845584,41.36093793973256,0.014011564888559303,10.058844181912628,0.13362494850130108,134.2092014709285
55,725640.9150803752,823978.4276011654,592472.8878178031,274.14012700120804,35189.41942573277,0.37133157524860333,354.36894798383526,0.056278280723850625,50.20361858846853,0.014631493405413616,10.853698664151121,0.1326352667692516,128.90722265577517
56,554069.9563632095,1312811.6082175022,689270.1939998164,204.41079064797998,32287.033208852048,0.4135756963128935,384.57163499581554,0.020576062795110355,19.007979491735224,0.014511328374618474,13.497083910153677,0.13400500942755264,144.18430909708505
57,615417.0471979103,1396684.418107443,581215.8861516423,261.69188315430915,33308.225616029296,0.4186508181425608,384.93553193999605,0.021878282737561126,20.158471537477553,0.014079079455493427,12.010080282611206,0.1343916806486919,144.43779924629754
58,776495.9277259384,1044192.0579448532,628416.4529326564,269.96282376622435,37791.01204449282,0.372223233114397,359.5247291732035,0.048008188418570644,43.72404660524343,0.01485729383265758,12.462914356139958,0.13269891957269245,131.549232610279
59,608478.2801307869,858051.5397494133,596341.3096355884,274.0160420779382,32169.32014414505,0.39778027430818536,367.4236210399158,0.044266240357102436,39.95732192263965,0.013494617968389935,8.780122681006082,0.13419256361911142,135.70883668053136
60,719051.7150770333,829592.7555542793,753662.2603591973,249.9579551712674,37143.441753677864,0.3577922122407824,350.55639874546716,0.05700167410061139,51.319040230522305,0.015398329815095898,13.341500211939127,0.1318431115913827,126.96961487326229
61,797343.2189248195,807764.9845269563,809558.7510535538,290.02109952505856,40374.43799954792,0.3522113607571198,344.4390304068174,0.06532663311532412,57.67218158916967,0.0154461036722097,12.763211611835526,0.1315039641687539,123.79915014458875
62,502660.1420408444,1368324.9365094763,810450.4242677795,251.58900362226117,33225.68941983656,0.43347089644894915,389.38844562813733,0.018596221177714038,17.055560459737872,0.013656537203943758,10.914723834810403,0.13492909505483625,146.79490859755174
63,733135.2091947661,1053146.5878519116,333859.317640667,214.76280330468927,31474.31112398016,0.3640527924657663,362.03397681306393,0.04183762137791964,38.771202238756054,0.015158824194670344,15.053748300207811,0.13817545507015347,132.91212069992395
64,660069.4598961336,837037.6895806639,658478.1037027712,298.7339517183477,34713.75089729052,0.3881079548439205,363.3619520376201,0.04771742125544789,42.92145467712643,0.013941569212227573,9.643973689984144,0.13362482104383178,133.54575023904522
65,577007.519775875,891390.7628644884,586037.0696295211,281.9154258760807,31290.6691610282,0.40287079296361855,368.8355779117501,0.04350768683356018,39.23196866479985,0.01322374555904358,8.172834946155982,0.13448998540178178,136.4430169977397
66,837805.2562509574,1275557.5811541826,433217.35147486423,232.828643099067,36611.937449351826,0.3640970748738598,363.72830195824656,0.03683190001675804,34.26824127070549,0.01570677537380808,17.880385451750087,0.1322406081256054,133.0787483832946
67,735303.1035662855,1142673.6645518076,424283.85015438363,209.01769196377887,33054.58228923538,0.3729524665965435,367.0938589904552,0.03520074204727273,32.67507024771283,0.015245864424561927,16.311073690511975,0.13275860960378352,134.95848693508935
68,573707.789890179,1218474.388604826,653781.1094206104,268.4023659651525,32922.73534636394,0.4150903926192355,381.1823171559231,0.027350736035425517,25.08752423438871,0.013625446852660485,10.634576779855504,0.13465377738609954,142.58961263193333
69,645722.5215197594,942556.168644493,724679.0747936787,265.4733072037142,35331.87047952416,0.3885161953872267,364.71819577643214,0.04564670867153754,41.29330830121819,0.013987570366278996,9.995442043485077,0.13365129483021718,134.28224315243293
70,724452.713417172,833624.4581575865,352831.4489680111,267.7494054486932,31497.243404549983,0.37545501581840607,361.35117813948966,0.04803492495623978,43.7466922106792,0.01423227650191361,10.769390837656179,0.13966757166587876,132.98926210307292
71,521288.5222932099,946456.5210527732,410499.4185405004,291.10591930195756,27222.40822545083,0.4219479604770763,378.77063117456885,0.033565870976033266,30.428226244396292,0.012341402150319827,7.595875800627391,0.1372873802120574,141.5743237304593
72,696944.3271376722,1021077.1473191438,805560.3796877154,236.54393575302987,37833.298043585804,0.3727442939662261,362.9746978129352,0.042297768367631994,38.92152878570906,0.01501884817428655,13.986575098071619,0.1327372299328463,133.13311142895935
73,596071.9651801533,880558.202226718,398801.7420668304,221.37300951776,28402.839482239095,0.3883081586229896,365.45099661482243,0.0443735557562078,40.233876194896524,0.014042584474472571,10.359142547981943,0.13364084107406016,134.6253712139748
74,597790.712425661,1430338.306819807,418568.74193062045,299.0558231699689,30723.956710833405,0.42625116458948015,386.6143042603262,0.022997115655290813,21.09873081879184,0.01299528251636119,9.530677977300243,0.1403133035750462,145.73026529697466
75,731252.0758845935,1351982.0140367402,345221.261066476,216.9992431855703,32329.016272387296,0.38244494961205966,374.8696986536263,0.028525117665464936,26.646730592803706,0.014309229751400202,15.065863650413064,0.14280022558316127,139.60788894808618
76,786127.0523169581,1432256.6395789345,321351.5219606816,214.16122782869712,33532.40525093205,0.3780830409881885,375.2678001908608,0.026582881189796164,24.96370437191495,0.014376744202581226,16.384574114431746,0.1464718004563963,139.92062399197164
77,891394.1580476387,1226528.8159356108,486484.77765337226,229.8373029887889,38571.006444722574,0.35260341225467484,357.2835863671791,0.04246846288429831,39.467939178640364,0.016188238237358585,18.769248121258727,0.13156186556169097,129.7820314623138
78,739898.5289919134,1101840.6567953518,431693.8966333207,292.93528693021784,34285.697751184336,0.3897589139771908,367.58978407514326,0.042626475614819984,38.821274682034534,0.013712048717466244,9.787068675434465,0.13847578804134442,136.05189580482116
79,685384.418840526,887248.0768962353,848239.6528461352,283.0079619240356,38279.86825832442,0.3824814791410778,362.70109253013993,0.04677575491824992,42.37771859998561,0.014300941544084986,10.813005107535773,0.1332984070337762,133.21655371822436
