sample,solar_cost,wind_cost,battery_cost,diesel_marginal_cost,total_cost,solar_mw,wind_mw,diesel_mw,battery_mw
55,725640.9150803752,823978.4276011654,592472.8878178031,274.14012700120804,49120932.07185161,170.48216536716117,339.9130089024902,90.12363629170079,42.05814568339604
56,554069.9563632095,1312811.6082175022,689270.1939998164,204.41079064797998,54212726.27782456,199.0655838980313,276.2398019143256,98.5080651420197,8.961716011084556
57,615417.0471979103,1396684.418107443,581215.8861516423,261.69188315430915,59399540.387422554,230.70741460743716,257.19410849240296,76.12671372725755,97.30915580619832
58,776495.9277259384,1044192.0579448532,628416.4529326564,269.96282376622435,54893574.07681657,169.5910891316114,326.39503334250924,91.27368717716428,37.51847113551386
59,608478.2801307869,858051.5397494133,596341.3096355884,274.0160420779382,48477046.849235766,183.00360980558392,329.31412835139577,88.3574454520093,49.02995162954666
60,719051.7150770333,829592.7555542793,753662.2603591973,249.9579551712674,48227188.77169253,162.2069435761529,350.16567060631155,100.77836653149446,-0.0
61,797343.2189248195,807764.9845269563,809558.7510535538,290.02109952505856,50550972.12435412,154.3717150905505,370.960968210798,100.77836653149446,-0.0
62,502660.1420408444,1368324.9365094763,810450.4242677795,251.58900362226117,57602325.128311336,213.94893281932232,296.93968332251825,100.77836653149446,-0.0
63,733135.2091947661,1053146.5878519116,333859.317640667,214.76280330468927,49644884.62684814,195.54760816348352,276.2398019143256,75.99175492444598,123.14843259021927
64,660069.4598961336,837037.6895806639,658478.1037027712,298.7339517183477,49937635.97852523,181.89247633950987,354.44013478057997,95.78191382278331,19.722839639649237
65,577007.519775875,891390.7628644884,586037.0696295211,281.9154258760807,49097435.56223512,189.24106925209009,326.39503334250924,86.35300226703602,56.942227359704354
66,837805.2562509574,1275557.5811541826,433217.35147486423,232.828643099067,57426920.48751724,185.98180004652215,274.95910661498607,82.20277698013155,80.96774700914035
67,735303.1035662855,1142673.6645518076,424283.85015438363,209.01769196377887,52131560.52171448,188.37055391665984,276.0617991659872,82.87067351150328,73.96962940768441
68,573707.789890179,1218474.388604826,653781.1094206104,268.4023659651525,56141229.467659,201.89471510605662,299.1428373368637,88.77505177120717,47.38150563271296
69,645722.5215197594,942556.168644493,724679.0747936787,265.4733072037142,50821085.72617829,188.68564632240617,338.3792487834832,100.77836653149446,-0.0
70,724452.713417172,833624.4581575865,352831.4489680111,267.7494054486932,47129920.586525716,186.47449686077525,323.49002384296324,77.53297027934184,116.62989210293591
71,521288.5222932099,946456.5210527732,410499.4185405004,291.10591930195756,48130647.35194351,241.92626302750824,285.54094195215845,69.73550413103523,139.2562241929735
72,696944.3271376722,1021077.1473191438,805560.3796877154,236.54393575302987,51813240.532825835,173.16522083799507,326.39503334250924,100.77836653149446,-0.0
73,596071.9651801533,880558.202226718,398801.7420668304,221.37300951776,45198955.51550064,189.36868100807064,306.7682645383986,82.12551855148241,78.59999520899554
74,597790.712425661,1430338.306819807,418568.74193062045,299.0558231699689,58944986.3109651,268.07623186595686,246.85803711241886,65.023379928829,158.46266327719664
75,731252.0758845935,1351982.0140367402,345221.261066476,216.9992431855703,55383409.825746246,234.0780722228867,242.61621827571443,68.93631228668589,151.92460682109976
76,786127.0523169581,1432256.6395789345,321351.5219606816,214.16122782869712,57094291.86423515,234.56078922554937,236.81856289316482,66.8945920265039,167.80062063810857
77,891394.1580476387,1226528.8159356108,486484.77765337226,229.8373029887889,57396636.555904076,166.68746410676516,295.57456261912426,87.53780786890574,52.265363141797536
78,739898.5289919134,1101840.6567953518,431693.8966333207,292.93528693021784,55119390.12001198,201.89471510605662,300.19081751652084,77.76680316215477,104.18133521353326
79,685384.418840526,887248.0768962353,848239.6528461352,283.0079619240356,50850506.48037087,182.30089003469374,346.64734297159913,100.77836653149446,-0.0
80,860120.1190412149,1058204.083971306,788729.0957593933,292.80949639292515,57705963.70474315,164.42602114652038,341.50511077809574,100.77836653149446,-0.0
81,581432.7165552409,967147.8160913081,760765.5274363717,249.40915071597328,49736432.98897771,191.33746735698676,327.7652365157685,100.77836653149446,-0.0
82,853315.8584185865,952617.0591733392,812973.6775764301,208.5007385514985,50193763.188340575,135.24041150460033,331.9240595061576,100.77836653149446,-0.0
83,576036.7857686034,994870.2843482657,792502.2171728399,284.16690977092463,52050551.532982856,193.44249839172826,336.05343278411345,100.77836653149446,-0.0
84,702027.3722167191,988699.8070493281,639836.3748965717,266.3123568727811,52574306.96218819,173.62281208875754,327.0738119075222,93.06341380877919,30.453760747560263
85,605118.8696852875,1128774.317025019,729945.8747371426,231.82403018114405,52775529.99971331,189.67693967562087,308.73660980961495,100.77836653149446,-0.0
86,620470.449341851,1066834.9924521903,533176.2325020942,294.85059952211543,53759914.18642766,201.89471510605662,307.47970367984254,81.0961257586856,77.76911156172196
87,858020.8324975499,1084869.9495160508,367383.4246030781,262.86654498013814,54409860.87045253,186.02440965740368,295.29395307810586,77.72355154798089,115.94225145126302
88,501367.72168485954,998758.8965358563,507627.41454737843,205.44016520116395,46559931.43058443,195.12957791658977,285.9410272221513,84.60302295559818,63.850040431169504
89,866571.814949155,963476.8493074845,701960.7238031949,276.7089872803169,54579723.14583666,153.5914246555388,343.6346449138801,97.984520009118,11.028341535696534
90,835554.9286079949,875200.1495372569,885187.1832322065,225.47897571127055,49202541.56317082,135.24041150460033,345.8668370551872,100.77836653149446,-0.0
91,601145.4350244227,1191259.6782384638,415505.8259200101,278.17260209692427,53878729.00912452,246.75480478884427,257.80422317575835,68.49048784443194,146.12456980005635
92,654565.5413206513,1124417.5557112582,347373.5061777366,245.43704765834423,51213630.89160791,236.13931755749547,258.7169096219174,68.12787226899178,156.55207908926303
93,832900.6139520975,1121694.5516307794,441630.12756740185,203.2226145754319,52766968.277977936,166.6422839313732,287.83149459151804,87.53651436178347,52.443919243837314
94,802440.3121448071,889245.088501662,678174.5539254933,243.94924646889953,50269824.25051296,145.66776796247717,345.94603029757917,100.77836653149446,-0.0
95,840600.759538678,1152067.102421362,317300.4550294704,298.4364616285997,56004513.43246937,221.0653648695179,277.43000629818835,66.84827674080297,177.08997783191313
96,674115.0741628932,1342295.2607935925,850320.3348832328,220.3574599790535,57529047.263839595,184.98483686691947,286.7406154274175,100.77836653149446,-0.0
97,736663.4196775686,1055706.7558636575,826560.9924092325,230.35060052447972,52733302.86957664,155.40656697290532,323.49002384296324,100.77836653149446,-0.0
98,560153.4474155144,1286520.2499651157,481345.80044250685,288.9600826347573,56312608.131186105,259.37434583514016,256.6423539935425,68.91976634156823,133.7440067359666
99,683646.6720906897,1160498.6476580668,536101.9822449285,272.4537291118109,55772074.566625796,189.39956851724227,302.0177460866438,83.40023162394748,68.59790095084333
100,549101.5422297987,1296438.4165919046,548789.3719671865,285.4406194963203,57094196.798086464,249.37651165764942,260.690012309382,72.73368746557428,110.70268052336912
101,602310.700610967,1029882.9159380457,314521.42904232716,257.81288533203497,48382769.897109754,249.93961058739913,256.6423539935425,63.329216263994454,184.61751746861813
102,540129.2537096532,819247.5256313964,410658.44396995683,247.70440700296325,44225038.72814796,201.89471510605662,307.47970367984254,79.40651694240336,91.10812853237121
103,897996.9062806938,810876.3808727638,386950.6082416382,203.7523007092972,46324546.48544423,134.02139121414083,328.708990722366,89.21391321917918,61.77832401532007
104,823136.1676896892,1136957.0700481618,817716.9453137052,280.11447984017394,58459399.16716073,172.22381936830882,329.97174200738766,100.77836653149446,-0.0
105,851779.3692433496,1156123.8125801864,887103.6918078931,207.0926001172118,54701487.15613805,143.81760382823373,306.7685657857711,100.77836653149446,-0.0
106,665965.1311141932,1299318.4378583047,473929.7477757575,291.79695812123384,58424636.79811103,235.75245219344046,265.47101388842754,71.56936421891572,129.53997697539688
107,693437.4794224191,965856.8180355127,691360.8180650915,205.71293246625686,48701040.728496395,151.21348092804948,320.633696528686,100.77836653149446,-0.0
108,594723.7454432227,1212327.0419042301,865502.9220983551,206.30217903747115,52876380.34936067,189.4676480093335,291.54707713213884,100.77836653149446,-0.0
109,856691.6721188356,1120535.4339423147,876028.4592649289,271.54781222899,57985429.45016631,154.3816139904625,334.8650489576727,100.77836653149446,-0.0
110,699594.1320358344,1238203.869952576,627475.1985168927,248.77650602259746,57103118.854373015,184.33881698958362,294.3748882205921,88.58635664924255,48.126354798362804
111,538230.122461141,979912.7494816312,786450.093952938,291.4805617362832,51515308.04658049,201.89471510605662,338.3792487834832,100.77836653149446,-0.0
112,513046.43989859044,930213.8460997037,301609.87109983386,201.8886886768085,42837720.56497783,244.7223190944061,256.2727613127199,67.19865270491998,157.80163354531086
113,754991.3557274132,1423370.8486724542,802265.8267749797,289.6254341980759,64565372.8932404,189.08997493030878,306.7685657857711,98.27202467844381,9.89345468309464
114,720354.0586665627,1355054.9233322078,464280.3106875452,267.03656858964047,59223696.159210764,228.941017528568,256.92837482567097,71.86552999541183,132.21618007176255
115,730258.775676906,970342.0856075371,733425.5850468418,266.1508067494404,52623706.46439992,172.8468233445543,338.3792487834832,100.77836653149446,-0.0
116,543698.1990165518,1332688.5695162406,502364.61643157306,280.8272099369198,56854755.94255677,258.61437097190986,256.2727613127199,69.32577207792775,131.08791141986478
117,841611.6501701279,1290510.3749804099,374488.1149017879,294.21443502363195,59652856.70025042,219.9674863830367,265.47101388842754,69.35141777023941,158.32253388101626
118,874025.9974015112,827756.7283024526,312125.1018819882,276.1275403787233,48564529.531674616,154.4845955868318,333.7221494636279,77.35049925877665,140.73544714383482
119,862543.5479378499,939325.7608764754,749044.8898415847,204.30647782219435,49705736.78809327,135.24041150460033,328.63503722369984,100.77836653149446,-0.0
120,847498.2618937648,1026910.7439163527,489907.3283209951,286.19974183319823,55179612.14057336,177.77555735049907,317.97864221586565,84.08769866278926,71.19103399000215
121,561999.228489401,991826.99257556,626079.496527043,246.33688190831276,49817522.77823363,189.2786126695236,320.6208319891786,96.02963870518117,18.744978261762967
122,587554.343827516,1013354.7055056924,467797.78727920394,259.20649050163735,50107110.470473304,203.9049124531611,299.1428373368637,79.90844594244436,85.85651264229845
123,677958.2604811657,1245491.987867468,385347.8594257246,256.89092515080466,54897303.42080076,237.85576733847805,256.2727613127199,69.66116071523459,143.26436347961425
124,848274.5856574624,1077160.498901923,304445.2462954361,213.2859553528849,51165675.86924145,172.14361138235668,284.2020892422333,76.92477645453512,132.35594155138241
125,826274.7080566784,1384782.7192584332,351479.58054343803,263.130181188093,59514923.06836172,228.32723208877496,254.65534557204987,67.56320651189417,166.66015903373574
126,636406.154599132,1272743.2316496493,512046.9768859204,278.537236404565,57404338.6727341,235.75245219344046,265.47101388842754,74.15530331653568,109.12466830997616
127,538802.0177173273,1435638.3853237429,329184.8176996522,200.91461405901518,52096125.07252105,294.45668010695516,200.2530799988155,54.2767398966631,225.28465090308427
128,747249.0169028018,841450.4733123002,761890.1007513407,212.42770234122426,46743427.69982072,146.71720507056332,339.9130089024902,100.77836653149446,-0.0
129,706593.5313134438,1150473.6150437945,633740.0657792531,218.9158654970622,53697581.08073269,171.57028760211,297.37421320570576,93.98095524282466,26.831886665801818
130,508472.9793713422,1006942.1250493751,868632.5564278034,261.12607014197914,50239843.367589846,201.89471510605662,326.39503334250924,100.77836653149446,-0.0
131,768416.8686307035,1108307.198003062,488964.9263164341,299.4753392582537,56513884.19237376,190.0540291803337,306.7685657857711,80.81803293800483,88.43281985822884
132,533870.4887026919,1098644.1719864658,764292.5788968529,219.19142861539802,50408919.15140382,195.20405344576628,306.54861188793365,100.77836653149446,-0.0
133,780347.6416960894,1334500.3919454743,648492.6835570142,223.0945791074774,58714436.32122378,176.74020355195407,284.2585682458995,92.62683681940459,32.17709096877578
134,809178.0045960133,1033888.5458297883,721959.6995943552,273.5667399785344,55486441.60297971,163.16269766184652,336.04629322968066,99.04796937427527,6.830515094286266
135,672194.1627159935,1240586.195747096,601883.4377342619,215.66996796954726,54813290.999948636,181.83634349088996,284.0572160273929,90.7078612608903,39.751994489226945
136,511412.40188166936,1418645.8182471273,510079.4072842128,240.05406076412237,56164567.16536301,256.4726664035247,244.67745507001186,71.5211994724983,115.48881733814274
137,658150.3438934258,1095610.6786770406,420124.79785679094,240.57099169516272,51602315.439407155,208.87141805919677,280.4268119088025,76.94271556825504,106.0523862096986
138,692462.268895882,982404.7158304151,558833.7170418268,212.08507502907494,49287238.53766864,166.62620326476244,307.4484173119228,91.8033584511422,35.42766347507466
139,570358.0577836026,1448178.5445669363,832596.4109147943,298.0788694743532,62974721.00262471,214.2353122021293,304.78510464549043,99.88208783319192,3.537942230141598
140,666734.8021189546,831425.6641687283,649374.551551895,260.89234110680957,48163417.89656649,179.91000771575608,346.7118817582775,100.40316657957096,1.4810524418032556
141,653215.5724164026,1023752.776390896,378430.8557683733,244.08065890053797,49714268.73767895,214.83807980256512,280.4268119088025,75.01317955800151,117.02461738134096
142,514790.324751744,985694.0481109804,881926.4225372217,247.1002174833495,49126510.12753128,201.89471510605662,323.49002384296324,100.77836653149446,-0.0
143,569126.1858647262,1060569.9919796465,817120.3328169014,283.6281960763854,53483003.950545706,198.94791029275845,328.63503722369984,100.77836653149446,-0.0
144,756100.4753751596,854268.6831967292,768991.9313572163,254.9607232391534,49517690.07701531,155.37871611935518,350.16567060631155,100.77836653149446,-0.0
145,869689.3635132143,812582.8598753243,823089.0396478744,266.70931277755466,50252795.1164377,140.1112791587717,370.960968210798,100.77836653149446,-0.0
146,712394.123450357,1202346.1576734446,584750.2526967411,201.44739512472566,53628829.69394444,172.67316235972964,285.1298689635662,91.11459416656724,38.146469861554806
147,621398.0982215214,1172499.774517792,554698.2557454032,202.55920979971384,51788189.250236146,188.35997348006674,276.2398019143256,88.18217030090685,49.7218272260037
148,707927.4086731821,1269733.1751823754,692661.135727314,250.0732922345129,58201623.68752073,183.98538123293974,298.5515785605381,94.59683216894501,24.400793536379354
149,627496.2933222969,1072520.1198367747,483069.5135324835,256.5829782605995,51977012.84576552,202.33332256164476,299.7410424861183,80.37304392349131,83.30043383097711
150,859364.0718079892,1115838.4526005657,773737.4086896174,286.37189455942394,58735197.959270805,161.076382874787,336.05343278411345,100.77836653149446,-0.0
151,690915.5168787423,1295456.0983279967,732406.41783577,234.87860737686785,57708179.48235504,187.06233288961556,298.070998521744,100.77836653149446,-0.0
152,618670.1593292197,1288382.7062657923,571594.2643103132,202.4898467913857,54081821.12902143,189.63128036303647,266.38031760967715,88.42187151847617,48.77563820928272
153,747897.0445429545,1166504.4753761375,557754.988001607,239.21988528911973,55321021.250866435,176.77201653171397,297.11328024634025,85.706541655755,59.49404556212937
154,530452.2657631917,839938.267920539,438456.70303424576,293.1850939621985,46441033.82927934,206.0717672583418,323.49002384296324,78.01125298422166,98.85905709585417
155,728889.5004603115,1279063.1595263882,838394.8288051473,206.70683663445357,55953556.51207567,158.294765410988,291.4365244803339,100.77836653149446,-0.0
156,875708.025813512,883110.6490604358,819663.6817173332,215.0560213462993,49155847.00797112,135.24041150460033,339.9130089024902,100.77836653149446,-0.0
157,762198.027796481,848928.0388986109,748012.5356452641,252.62261534153805,49326466.04227554,153.0029429428073,350.16567060631155,100.77836653149446,-0.0
158,524116.99219720834,1154637.4503631452,884269.659501266,242.13634509079696,52791295.413384914,201.89471510605662,307.4484173119228,100.77836653149446,-0.0
159,640068.1253937392,1366582.4547142768,772353.4733440406,260.1778787657596,60066101.41421474,196.84750141410038,299.1428373368637,100.23594467929874,2.1411388902462183
160,863933.5796685268,1393313.4107822685,356408.3331021373,240.81276262748284,59418167.78634263,209.68690992274537,256.6423539935425,72.25606169930458,142.88791915771816
161,533473.4386299573,1234509.9336990383,754224.7211364874,217.94347322478635,53227073.42835902,199.41715130646247,295.41562080596464,100.77836653149446,-0.0
162,712583.9583360597,1117711.0137544568,380933.63965796627,273.15637363926555,53634857.66986868,220.89312448269285,280.4268119088025,72.26720341469205,134.37931200402883
163,663899.5906948311,936136.7069081834,468969.5691860627,210.3196262096968,47336102.91527954,174.5162539002977,306.7685657857711,86.07164885170256,58.052832946546914
164,625377.4092393031,1308743.344771871,448681.64338982117,226.54248119459396,54798867.225707345,227.47394370571874,255.3736733427778,76.08854229083835,99.9516077387743
165,760495.208125074,1265436.1431198535,654466.0674184631,220.1857605199239,56887654.37726375,167.4578900430854,294.7628399951321,95.78643916327658,19.704976453491607
166,775511.424972031,872090.4985822826,358743.489773124,213.4515345685601,46612073.03760338,171.76377456195345,310.44928591536325,82.88349374808715,85.12340887152828
167,627633.0244148392,903536.5224279363,457658.4247852941,224.47734236387893,46728627.167272925,182.92634521872034,314.63107343355625,84.51515790251901,64.19687616700831
168,505693.2309837698,1133732.2292913352,306456.40162280126,222.3042544182686,47087299.57641607,270.51591203499305,231.03843316296948,59.173515181626705,203.18158739290234
169,643725.0339744427,822003.8775857425,572071.8369673052,282.39835517104666,48279949.59815602,180.8125405934283,336.0462932296806,85.09763929157359,61.89760752600346
170,590654.6911858971,817002.4962778833,547422.0547141894,252.3671474780072,46089158.47770137,181.20184782040766,327.0738119075222,86.54233724112993,56.19485246196524
171,526278.3900914174,878312.8859165637,719537.8210556256,274.85304552068203,48109554.88129767,200.20274861529916,342.35033947595474,100.77836653149446,-0.0
172,523566.7538415852,1444909.0214049248,446936.9858434242,289.31913462081184,57884791.44323097,286.3204394076588,242.52103472274752,63.68738643485644,156.05753895461623
173,795562.3241249302,1362197.8697992782,549395.1143343294,265.7524879469877,61245222.86896408,189.53972680801456,280.46131229391995,83.47084853963243,68.3191499678764
174,888575.3523577737,1140047.3820882353,697834.578303416,294.6333160889556,59922505.54632482,168.3114808488342,327.0738119075222,92.3215761314942,33.38206736842204
175,586647.4888711901,1336661.373641096,853286.216906458,246.75636178426814,57874408.41177401,201.89471510605662,298.070998521744,100.77836653149446,-0.0
176,855576.5111072969,1075348.062900683,678757.514258875,267.8197312795569,56610101.1545334,160.16284380926407,327.0738119075222,95.91139403764574,19.211733528350237
177,876283.2222062466,955315.0612113618,544038.0241857388,241.47043948921376,52169451.93520711,155.08364775047102,327.0738119075222,89.4968358878016,44.53235780405076
178,577967.730054259,1358220.1137840291,476968.7246677077,259.418189178637,56709972.165299706,246.50508468350623,254.65534557204987,72.40798916212542,115.43059909321371
179,779054.4959316982,893221.0634868863,687366.9633275358,279.11788609414043,51987361.16995075,170.6568731517388,345.83179326971384,99.02770985303741,6.910486888646247
180,880393.4370232054,1016940.5099283082,412936.2013911871,243.59165311745335,52894724.471958086,169.86948806368258,309.88049551945977,83.58066198589005,80.98220436041044
181,589464.0408146784,1274825.0304113552,835935.2251411538,223.3257760237486,55185910.27035796,195.868737253745,295.41562080596464,100.77836653149446,-0.0
182,723518.2980538973,1087767.6003624324,680862.9562040973,248.5828042050605,54326752.84998293,177.0108586927273,317.97864221586565,98.15276986732263,10.364197358572985
183,616705.2400222151,1232578.1476850053,711766.3896166843,262.6855720462589,56927843.04694732,201.38252922276095,306.7685657857711,97.88615477192957,11.416625366703501
184,659367.6770581468,1404608.7527709403,325697.1850849244,246.0775647900803,55736087.1447679,268.06730630673286,223.97185791814127,58.4030107729787,211.13732067974766
185,879451.5288348626,923493.5347106605,390287.40809367097,239.63668198823285,50412301.82743213,162.70239645415262,320.07916566958056,84.46962513417553,78.90304455879419
186,850829.3165715364,873667.2943156554,714253.8400679372,261.3494997243214,51342712.5765752,143.4561854761938,356.0403706281676,100.77836653149446,-0.0
187,774243.2873601876,1257558.2371747044,766732.0937176747,256.5499295382279,59280591.99676825,180.29113977579803,314.25775460971454,100.77836653149446,-0.0
